name,total,white,hispanic,median_household_income
"Census Tract 806, Arapahoe County, Colorado",3674,1729,937,53278
"Census Tract 807, Arapahoe County, Colorado",5604,1992,1789,57961
"Census Tract 808, Arapahoe County, Colorado",3307,783,1549,63571
"Census Tract 809, Arapahoe County, Colorado",4396,1514,1866,77471
"Census Tract 810.01, Arapahoe County, Colorado",2026,598,529,46429
"Census Tract 810.02, Arapahoe County, Colorado",3686,817,1648,53214
"Census Tract 811.01, Arapahoe County, Colorado",3490,872,957,58730
"Census Tract 811.02, Arapahoe County, Colorado",2357,748,756,36864
"Census Tract 815, Arapahoe County, Colorado",3152,2739,118,37016
"Census Tract 812, Arapahoe County, Colorado",4849,1564,1301,54535
"Census Tract 813, Arapahoe County, Colorado",3412,988,1245,78068
"Census Tract 814, Arapahoe County, Colorado",5588,2820,1253,70625
"Census Tract 816, Arapahoe County, Colorado",5074,2818,1274,68531
"Census Tract 817, Arapahoe County, Colorado",2864,1875,287,151797
"Census Tract 818, Arapahoe County, Colorado",5533,836,3539,52463
"Census Tract 819, Arapahoe County, Colorado",7123,1777,3112,44438
"Census Tract 820, Arapahoe County, Colorado",4325,1106,1625,49713
"Census Tract 821, Arapahoe County, Colorado",7124,1915,2774,67939
"Census Tract 822, Arapahoe County, Colorado",6177,2312,1825,63894
"Census Tract 823, Arapahoe County, Colorado",3752,1456,1293,66123
"Census Tract 824, Arapahoe County, Colorado",4533,1933,1443,48199
"Census Tract 825, Arapahoe County, Colorado",2378,1243,622,79975
"Census Tract 826, Arapahoe County, Colorado",5968,1805,1947,59787
"Census Tract 827, Arapahoe County, Colorado",3586,1383,951,88906
"Census Tract 828, Arapahoe County, Colorado",5352,2284,1578,71094
"Census Tract 829, Arapahoe County, Colorado",5094,2225,1448,85703
"Census Tract 830, Arapahoe County, Colorado",4040,1932,709,109659
"Census Tract 831, Arapahoe County, Colorado",7649,2939,1658,75557
"Census Tract 832.01, Arapahoe County, Colorado",6292,3410,986,115096
"Census Tract 832.02, Arapahoe County, Colorado",3334,1832,597,118250
"Census Tract 833, Arapahoe County, Colorado",4705,2504,889,91675
"Census Tract 834, Arapahoe County, Colorado",7265,3794,1499,79313
"Census Tract 78.01, Adams County, Colorado",3936,598,1681,35565
"Census Tract 78.02, Adams County, Colorado",3893,488,2176,40516
"Census Tract 79, Adams County, Colorado",5490,1262,3006,47542
"Census Tract 80, Adams County, Colorado",6775,1880,3419,53555
"Census Tract 81, Adams County, Colorado",1378,783,180,51087
"Census Tract 82, Adams County, Colorado",6521,1488,3431,74851
"Census Tract 83.08, Adams County, Colorado",6714,1274,4081,42318
"Census Tract 83.09, Adams County, Colorado",4278,619,3163,57719
"Census Tract 83.54, Adams County, Colorado",4022,1052,1272,95163
"Census Tract 83.55, Adams County, Colorado",4820,1443,2479,60853
"Census Tract 84.01, Adams County, Colorado",5537,3848,1238,67096
"Census Tract 84.02, Adams County, Colorado",5325,4089,882,90893
"Census Tract 85.05, Adams County, Colorado",7126,3859,2703,77070
"Census Tract 85.06, Adams County, Colorado",6460,3250,2414,42619
"Census Tract 85.07, Adams County, Colorado",6290,3428,2274,89823
"Census Tract 85.08, Adams County, Colorado",5558,3189,1726,68333
"Census Tract 85.24, Adams County, Colorado",9374,5779,2132,123333
"Census Tract 85.26, Adams County, Colorado",7509,4993,1497,97636
"Census Tract 85.33, Adams County, Colorado",7706,3870,2779,72305
"Census Tract 85.34, Adams County, Colorado",4344,2332,1527,92714
"Census Tract 85.35, Adams County, Colorado",4389,1915,1935,94375
"Census Tract 85.36, Adams County, Colorado",4353,2394,1412,121210
"Census Tract 32.04, Denver County, Colorado",2159,1567,281,62188
"Census Tract 32.05, Denver County, Colorado",3196,2629,276,63523
"Census Tract 33, Denver County, Colorado",3329,2839,201,131250
"Census Tract 34.01, Denver County, Colorado",2998,2649,159,138147
"Census Tract 34.02, Denver County, Colorado",4860,4199,258,187065
"Census Tract 35.01, Denver County, Colorado",3238,438,2299,60119
"Census Tract 35.02, Denver County, Colorado",2727,337,2246,47248
"Census Tract 36.01, Denver County, Colorado",4236,1813,1718,66364
"Census Tract 36.02, Denver County, Colorado",4337,1427,1726,55262
"Census Tract 36.03, Denver County, Colorado",3583,1798,573,67216
"Census Tract 37.01, Denver County, Colorado",3746,2809,374,78994
"Census Tract 37.02, Denver County, Colorado",4759,3660,472,59593
"Census Tract 37.03, Denver County, Colorado",3276,2516,318,57527
"Census Tract 38.01, Denver County, Colorado",3666,3075,252,85500
"Census Tract 38.02, Denver County, Colorado",3970,3242,318,172778
"Census Tract 39.01, Denver County, Colorado",5266,4435,380,113098
"Census Tract 39.02, Denver County, Colorado",4606,3749,398,138750
"Census Tract 85.45, Adams County, Colorado",6731,4672,1225,118659
"Census Tract 85.38, Adams County, Colorado",11712,6562,3284,128555
"Census Tract 85.40, Adams County, Colorado",10376,6188,2458,111307
"Census Tract 85.44, Adams County, Colorado",6242,3998,1136,124526
"Census Tract 85.46, Adams County, Colorado",3517,2065,1022,84107
"Census Tract 85.47, Adams County, Colorado",3468,1961,1112,92228
"Census Tract 85.48, Adams County, Colorado",1713,944,439,99242
"Census Tract 85.49, Adams County, Colorado",4581,2545,1422,101809
"Census Tract 85.50, Adams County, Colorado",8319,4818,2495,90104
"Census Tract 85.51, Adams County, Colorado",1788,1091,441,150884
"Census Tract 85.52, Adams County, Colorado",5185,2697,2024,82844
"Census Tract 85.53, Adams County, Colorado",5596,3637,1453,131611
"Census Tract 85.54, Adams County, Colorado",2507,1656,592,81712
"Census Tract 85.55, Adams County, Colorado",5848,3334,1725,61685
"Census Tract 85.56, Adams County, Colorado",6076,3022,2415,84949
"Census Tract 85.57, Adams County, Colorado",852,462,315,124219
"Census Tract 85.58, Adams County, Colorado",4220,1990,1668,124156
"Census Tract 85.59, Adams County, Colorado",8672,3692,3644,87223
"Census Tract 85.60, Adams County, Colorado",2203,1713,300,164138
"Census Tract 85.61, Adams County, Colorado",4824,3838,600,125417
"Census Tract 85.62, Adams County, Colorado",5787,3513,1671,100625
"Census Tract 85.63, Adams County, Colorado",4429,2685,1367,103819
"Census Tract 85.64, Adams County, Colorado",1192,715,397,63676
"Census Tract 85.65, Adams County, Colorado",7013,3685,2884,65000
"Census Tract 86.03, Adams County, Colorado",2118,597,1356,36087
"Census Tract 86.04, Adams County, Colorado",4551,1789,2416,71537
"Census Tract 86.05, Adams County, Colorado",4103,2076,1714,75125
"Census Tract 86.06, Adams County, Colorado",6101,2408,3273,59163
"Census Tract 87.05, Adams County, Colorado",5399,1270,3840,45383
"Census Tract 87.06, Adams County, Colorado",5572,1173,4072,42841
"Census Tract 87.09, Adams County, Colorado",8139,1664,5831,42046
"Census Tract 88.01, Adams County, Colorado",5138,1193,3700,53466
"Census Tract 88.02, Adams County, Colorado",4375,1080,3086,56250
"Census Tract 89.01, Adams County, Colorado",2478,638,1721,72375
"Census Tract 90.01, Adams County, Colorado",4770,1587,2644,54563
"Census Tract 90.03, Adams County, Colorado",4405,1386,2640,73180
"Census Tract 90.04, Adams County, Colorado",5040,1636,3007,63679
"Census Tract 91.01, Adams County, Colorado",4220,1451,2467,72285
"Census Tract 91.03, Adams County, Colorado",4383,996,3182,53320
"Census Tract 91.04, Adams County, Colorado",6470,2290,3485,61092
"Census Tract 92.02, Adams County, Colorado",4386,1557,2479,57823
"Census Tract 92.03, Adams County, Colorado",4594,1264,2706,57917
"Census Tract 92.04, Adams County, Colorado",6918,2852,2829,68908
"Census Tract 92.06, Adams County, Colorado",2630,1190,982,73571
"Census Tract 92.07, Adams County, Colorado",4560,1615,2535,74375
"Census Tract 93.04, Adams County, Colorado",5809,2730,2415,56841
"Census Tract 40.05, Denver County, Colorado",3751,2797,423,61151
"Census Tract 40.02, Denver County, Colorado",3448,3001,162,131354
"Census Tract 40.03, Denver County, Colorado",4408,3416,521,95893
"Census Tract 40.04, Denver County, Colorado",1968,1563,177,78000
"Census Tract 40.06, Denver County, Colorado",5373,4286,379,63654
"Census Tract 41.01, Denver County, Colorado",4802,1421,1274,53830
"Census Tract 41.02, Denver County, Colorado",4081,1188,1130,62500
"Census Tract 41.03, Denver County, Colorado",5494,3502,562,137904
"Census Tract 41.04, Denver County, Colorado",4519,2205,734,115295
"Census Tract 41.08, Denver County, Colorado",7604,5651,718,153833
"Census Tract 41.09, Denver County, Colorado",3284,2154,426,126400
"Census Tract 41.10, Denver County, Colorado",5541,3515,869,141875
"Census Tract 41.11, Denver County, Colorado",6848,4396,947,161081
"Census Tract 41.12, Denver County, Colorado",6127,4236,756,90931
"Census Tract 41.13, Denver County, Colorado",1756,1289,207,136875
"Census Tract 42.01, Denver County, Colorado",4906,3982,357,139432
"Census Tract 42.02, Denver County, Colorado",4467,3211,476,126949
"Census Tract 43.02, Denver County, Colorado",2699,2137,275,93456
"Census Tract 43.03, Denver County, Colorado",4341,3741,194,193542
"Census Tract 43.06, Denver County, Colorado",6092,4408,701,119211
"Census Tract 43.07, Denver County, Colorado",1988,1376,292,52097
"Census Tract 43.08, Denver County, Colorado",4132,2941,551,60021
"Census Tract 43.09, Denver County, Colorado",3633,2798,348,89311
"Census Tract 43.10, Denver County, Colorado",2347,1821,224,127706
"Census Tract 44.03, Denver County, Colorado",4274,1968,1356,71468
"Census Tract 44.04, Denver County, Colorado",5887,1792,1394,54231
"Census Tract 44.06, Denver County, Colorado",3965,2729,452,103438
"Census Tract 44.07, Denver County, Colorado",4941,3053,734,84456
"Census Tract 45.03, Denver County, Colorado",4303,519,3419,40663
"Census Tract 93.09, Adams County, Colorado",3782,1504,1672,53363
"Census Tract 93.06, Adams County, Colorado",3863,1311,2263,61195
"Census Tract 93.07, Adams County, Colorado",3828,1208,2335,77083
"Census Tract 93.08, Adams County, Colorado",4372,1243,2893,64262
"Census Tract 93.10, Adams County, Colorado",6201,1793,3857,68611
"Census Tract 93.16, Adams County, Colorado",8150,2157,5706,49511
"Census Tract 93.18, Adams County, Colorado",6414,1673,4080,39209
"Census Tract 93.19, Adams County, Colorado",3026,787,2076,40080
"Census Tract 93.20, Adams County, Colorado",3202,1016,1801,42064
"Census Tract 93.21, Adams County, Colorado",4383,1507,2467,59333
"Census Tract 93.22, Adams County, Colorado",5241,1675,2957,58397
"Census Tract 93.23, Adams County, Colorado",3704,1738,1423,61689
"Census Tract 93.25, Adams County, Colorado",5721,3971,986,71949
"Census Tract 93.26, Adams County, Colorado",2619,1866,393,83708
"Census Tract 93.27, Adams County, Colorado",4248,2434,1349,81094
"Census Tract 94.01, Adams County, Colorado",5060,2448,2105,79042
"Census Tract 94.06, Adams County, Colorado",4493,2510,1461,75597
"Census Tract 94.07, Adams County, Colorado",5352,2541,2183,67368
"Census Tract 94.08, Adams County, Colorado",4802,3509,514,109688
"Census Tract 94.09, Adams County, Colorado",5807,4362,721,113385
"Census Tract 94.10, Adams County, Colorado",3381,2596,445,121570
"Census Tract 94.11, Adams County, Colorado",3014,2064,648,98973
"Census Tract 95.01, Adams County, Colorado",3215,1072,1841,57679
"Census Tract 95.02, Adams County, Colorado",5764,2214,3036,84450
"Census Tract 1.02, Denver County, Colorado",3622,2668,669,106339
"Census Tract 2.01, Denver County, Colorado",3913,1669,2055,65730
"Census Tract 3.03, Denver County, Colorado",5479,4360,676,77442
"Census Tract 2.02, Denver County, Colorado",4042,1809,1741,69643
"Census Tract 3.01, Denver County, Colorado",5779,4451,906,100232
"Census Tract 3.02, Denver County, Colorado",4412,3372,665,92113
"Census Tract 4.01, Denver County, Colorado",3174,2011,910,98477
"Census Tract 4.03, Denver County, Colorado",3682,2644,772,105278
"Census Tract 4.04, Denver County, Colorado",2956,2269,361,88208
"Census Tract 5.01, Denver County, Colorado",2014,1552,294,126667
"Census Tract 5.03, Denver County, Colorado",2269,1285,656,38361
"Census Tract 5.04, Denver County, Colorado",3648,2582,651,103153
"Census Tract 6, Denver County, Colorado",4742,3385,879,89485
"Census Tract 7.03, Denver County, Colorado",2603,1591,724,38500
"Census Tract 7.04, Denver County, Colorado",2715,1410,1007,90528
"Census Tract 7.05, Denver County, Colorado",3134,1407,1171,76164
"Census Tract 7.06, Denver County, Colorado",2872,1291,1072,72250
"Census Tract 8, Denver County, Colorado",1127,149,501,20492
"Census Tract 9.02, Denver County, Colorado",5345,1351,3658,52538
"Census Tract 9.03, Denver County, Colorado",5780,1406,3998,51422
"Census Tract 9.04, Denver County, Colorado",4711,1134,3161,33932
"Census Tract 9.05, Denver County, Colorado",3269,1034,2069,63696
"Census Tract 11.01, Denver County, Colorado",2743,1272,1119,59698
"Census Tract 11.02, Denver County, Colorado",5274,3940,791,96175
"Census Tract 13.01, Denver County, Colorado",4834,1249,3048,58190
"Census Tract 13.02, Denver County, Colorado",3759,1065,2399,51912
"Census Tract 14.01, Denver County, Colorado",5935,1309,3857,40163
"Census Tract 14.02, Denver County, Colorado",4048,988,2492,56250
"Census Tract 14.03, Denver County, Colorado",3374,2213,753,66155
"Census Tract 15, Denver County, Colorado",4580,1616,2336,53668
"Census Tract 16.01, Denver County, Colorado",2995,1984,567,118264
"Census Tract 16.02, Denver County, Colorado",5167,3920,619,104545
"Census Tract 16.03, Denver County, Colorado",6613,4313,1156,64763
"Census Tract 17.03, Denver County, Colorado",3487,2901,263,96711
"Census Tract 17.04, Denver County, Colorado",2383,1668,235,80537
"Census Tract 17.05, Denver County, Colorado",4401,3434,380,117902
"Census Tract 17.06, Denver County, Colorado",2449,1669,332,74004
"Census Tract 17.07, Denver County, Colorado",2478,1763,338,108500
"Census Tract 18, Denver County, Colorado",3306,1876,929,51738
"Census Tract 19.01, Denver County, Colorado",3903,1445,1474,48554
"Census Tract 20, Denver County, Colorado",4053,2700,625,107604
"Census Tract 21.01, Denver County, Colorado",3078,2058,668,107768
"Census Tract 21.02, Denver County, Colorado",3114,2241,422,71320
"Census Tract 23, Denver County, Colorado",4975,2778,907,102250
"Census Tract 24.02, Denver County, Colorado",1971,1162,381,88269
"Census Tract 24.04, Denver County, Colorado",1415,790,304,54122
"Census Tract 24.05, Denver County, Colorado",4526,2441,823,83114
"Census Tract 27.04, Denver County, Colorado",2423,1670,409,43342
"Census Tract 26.02, Denver County, Colorado",2835,2077,343,85227
"Census Tract 26.03, Denver County, Colorado",3250,2353,412,90208
"Census Tract 26.04, Denver County, Colorado",2097,1304,311,33869
"Census Tract 27.05, Denver County, Colorado",2675,1992,357,54327
"Census Tract 27.06, Denver County, Colorado",3286,2516,356,73003
"Census Tract 27.07, Denver County, Colorado",2996,2385,308,85263
"Census Tract 27.08, Denver County, Colorado",3011,2196,408,49700
"Census Tract 27.09, Denver County, Colorado",2284,1741,252,58434
"Census Tract 28.01, Denver County, Colorado",3217,2574,327,71771
"Census Tract 28.02, Denver County, Colorado",4708,3627,578,59202
"Census Tract 28.04, Denver County, Colorado",2209,1833,193,71263
"Census Tract 28.05, Denver County, Colorado",3784,3092,290,80196
"Census Tract 29.01, Denver County, Colorado",3839,3155,318,75598
"Census Tract 29.02, Denver County, Colorado",4211,3632,279,124096
"Census Tract 30.02, Denver County, Colorado",2749,2224,285,100417
"Census Tract 30.03, Denver County, Colorado",3188,2425,304,68864
"Census Tract 30.04, Denver County, Colorado",6308,4896,536,111616
"Census Tract 30.05, Denver County, Colorado",3144,2604,243,120313
"Census Tract 30.06, Denver County, Colorado",3644,3068,248,102024
"Census Tract 31.01, Denver County, Colorado",1701,1137,207,78897
"Census Tract 31.02, Denver County, Colorado",4082,2719,564,50250
"Census Tract 32.02, Denver County, Colorado",3429,2768,274,67684
"Census Tract 32.03, Denver County, Colorado",3100,2753,168,233158
"Census Tract 835, Arapahoe County, Colorado",5541,2244,1450,73382
"Census Tract 836, Arapahoe County, Colorado",3692,2065,746,65202
"Census Tract 837, Arapahoe County, Colorado",4399,2993,407,100551
"Census Tract 838, Arapahoe County, Colorado",3102,1602,501,82961
"Census Tract 839, Arapahoe County, Colorado",3220,1936,482,58906
"Census Tract 840, Arapahoe County, Colorado",2454,1386,580,87457
"Census Tract 841, Arapahoe County, Colorado",4713,2441,946,66789
"Census Tract 842, Arapahoe County, Colorado",3835,1959,1069,81304
"Census Tract 843, Arapahoe County, Colorado",3636,1874,825,88967
"Census Tract 844, Arapahoe County, Colorado",3213,1537,912,85882
"Census Tract 845, Arapahoe County, Colorado",2914,1438,751,63199
"Census Tract 846, Arapahoe County, Colorado",5508,3120,1129,72630
"Census Tract 847, Arapahoe County, Colorado",4940,2825,1018,87538
"Census Tract 848, Arapahoe County, Colorado",3519,2215,550,94611
"Census Tract 849, Arapahoe County, Colorado",3243,2217,252,153977
"Census Tract 850, Arapahoe County, Colorado",2704,1440,430,98883
"Census Tract 851, Arapahoe County, Colorado",6770,3981,599,178454
"Census Tract 852, Arapahoe County, Colorado",3131,2237,233,150625
"Census Tract 853, Arapahoe County, Colorado",2576,1521,311,101548
"Census Tract 854, Arapahoe County, Colorado",4444,2886,557,134338
"Census Tract 855, Arapahoe County, Colorado",5286,3637,588,113821
"Census Tract 856, Arapahoe County, Colorado",3257,2192,354,147578
"Census Tract 860.01, Arapahoe County, Colorado",4012,2375,652,118629
"Census Tract 857, Arapahoe County, Colorado",4878,2614,1239,73099
"Census Tract 858, Arapahoe County, Colorado",1712,1013,325,94115
"Census Tract 859, Arapahoe County, Colorado",9218,4622,1504,115960
"Census Tract 860.02, Arapahoe County, Colorado",3850,2119,671,74902
"Census Tract 861, Arapahoe County, Colorado",4986,3055,840,100576
"Census Tract 862, Arapahoe County, Colorado",6484,3977,895,125417
"Census Tract 863, Arapahoe County, Colorado",4468,2556,656,83415
"Census Tract 864, Arapahoe County, Colorado",2018,1644,120,192857
"Census Tract 865, Arapahoe County, Colorado",5351,3316,620,85319
"Census Tract 866, Arapahoe County, Colorado",6842,5092,617,91104
"Census Tract 867, Arapahoe County, Colorado",6707,4638,715,166293
"Census Tract 868.01, Arapahoe County, Colorado",4342,1909,709,62516
"Census Tract 868.02, Arapahoe County, Colorado",2909,1226,392,77117
"Census Tract 869, Arapahoe County, Colorado",3251,1157,613,56321
"Census Tract 870, Arapahoe County, Colorado",5117,1876,1288,63651
"Census Tract 871, Arapahoe County, Colorado",2589,1215,532,53260
"Census Tract 872, Arapahoe County, Colorado",4739,2618,708,70341
"Census Tract 873.01, Arapahoe County, Colorado",4977,1955,1421,58551
"Census Tract 873.02, Arapahoe County, Colorado",2654,1409,618,64432
"Census Tract 98.06, Jefferson County, Colorado",4266,3644,259,110833
"Census Tract 98.07, Jefferson County, Colorado",1727,1391,190,74878
"Census Tract 98.15, Jefferson County, Colorado",5182,4253,502,150139
"Census Tract 98.23, Jefferson County, Colorado",4495,3464,622,107326
"Census Tract 98.24, Jefferson County, Colorado",5044,3794,676,81250
"Census Tract 98.27, Jefferson County, Colorado",6305,4515,891,79833
"Census Tract 98.28, Jefferson County, Colorado",5315,4178,639,77132
"Census Tract 98.29, Jefferson County, Colorado",1780,1382,212,102449
"Census Tract 98.30, Jefferson County, Colorado",2155,1577,361,84375
"Census Tract 98.31, Jefferson County, Colorado",2768,1709,644,60606
"Census Tract 98.32, Jefferson County, Colorado",2567,1730,569,82321
"Census Tract 98.33, Jefferson County, Colorado",5601,3943,1155,77500
"Census Tract 98.34, Jefferson County, Colorado",4499,3315,773,71846
"Census Tract 98.35, Jefferson County, Colorado",3584,3024,325,118790
"Census Tract 98.40, Jefferson County, Colorado",3705,3071,371,73851
"Census Tract 98.37, Jefferson County, Colorado",7944,6557,749,150966
"Census Tract 98.38, Jefferson County, Colorado",5428,4563,376,136549
"Census Tract 98.39, Jefferson County, Colorado",2353,1974,235,110089
"Census Tract 98.41, Jefferson County, Colorado",2337,1890,289,108125
"Census Tract 98.42, Jefferson County, Colorado",3434,2875,261,116773
"Census Tract 98.45, Jefferson County, Colorado",4014,3584,166,158606
"Census Tract 98.46, Jefferson County, Colorado",5060,4510,227,138996
"Census Tract 98.47, Jefferson County, Colorado",3323,2977,159,130364
"Census Tract 98.48, Jefferson County, Colorado",2614,2383,87,128051
"Census Tract 98.50, Jefferson County, Colorado",2633,2328,114,154844
"Census Tract 98.51, Jefferson County, Colorado",3958,3329,333,131167
"Census Tract 98.52, Jefferson County, Colorado",4524,3908,312,124888
"Census Tract 98.53, Jefferson County, Colorado",2758,2340,152,120000
"Census Tract 98.54, Jefferson County, Colorado",5599,4881,315,122151
"Census Tract 98.55, Jefferson County, Colorado",3430,2807,208,137905
"Census Tract 98.56, Jefferson County, Colorado",2983,2160,554,64200
"Census Tract 98.57, Jefferson County, Colorado",2946,2445,196,77685
"Census Tract 98.58, Jefferson County, Colorado",3358,2921,180,92381
"Census Tract 99.01, Jefferson County, Colorado",3121,2588,205,83750
"Census Tract 100.01, Jefferson County, Colorado",4096,3016,589,73214
"Census Tract 101, Jefferson County, Colorado",4736,3588,656,78828
"Census Tract 102.05, Jefferson County, Colorado",2572,2212,192,117331
"Census Tract 102.06, Jefferson County, Colorado",4053,3178,604,99712
"Census Tract 102.08, Jefferson County, Colorado",5804,3968,1249,81809
"Census Tract 102.09, Jefferson County, Colorado",6637,4361,1520,65646
"Census Tract 102.10, Jefferson County, Colorado",3739,2870,565,102150
"Census Tract 102.11, Jefferson County, Colorado",3214,2279,622,74150
"Census Tract 102.12, Jefferson County, Colorado",4512,3095,986,81845
"Census Tract 102.13, Jefferson County, Colorado",4751,3151,1231,59837
"Census Tract 103.03, Jefferson County, Colorado",5634,4605,576,83192
"Census Tract 103.04, Jefferson County, Colorado",2764,2189,349,71394
"Census Tract 103.05, Jefferson County, Colorado",3565,2608,636,77632
"Census Tract 103.06, Jefferson County, Colorado",2714,2091,362,78304
"Census Tract 103.07, Jefferson County, Colorado",4656,3392,882,63688
"Census Tract 103.08, Jefferson County, Colorado",6507,5201,793,98403
"Census Tract 104.02, Jefferson County, Colorado",6187,4012,1537,62646
"Census Tract 104.03, Jefferson County, Colorado",5434,3464,1394,60000
"Census Tract 104.05, Jefferson County, Colorado",2715,1867,571,55655
"Census Tract 104.06, Jefferson County, Colorado",3080,1505,1362,53584
"Census Tract 98.36, Jefferson County, Colorado",4106,3433,406,128975
"Census Tract 105.02, Jefferson County, Colorado",5436,3891,1089,74018
"Census Tract 105.03, Jefferson County, Colorado",4806,3659,725,67056
"Census Tract 105.04, Jefferson County, Colorado",3003,2556,248,131944
"Census Tract 106.03, Jefferson County, Colorado",3607,2477,794,63400
